title,url,summary
2022款传祺GS4正式上市，配置全面提升，主打安全智能,http://www.guokr.com/article/460037/,颜值、智能、安全等方面提升明显，售价8.98万元起
20万元以内唯一没有对手的大五座SUV，中国星旗舰SUV星越L全球上市,http://www.guokr.com/article/460034/,7月20日，以“众星捧越”为题，中国星旗舰SUV——星越L在杭州奥体中心亚运场馆全球上市。新车推出2.0TD-7DCT EVO、2.0TD高功-8AT两种动力组合共6款车型，市场指导价为13.72-18.52万元。其中，翠羽幻彩套装售价5000元，包括翠羽幻彩特制车漆+翠羽双拼麂皮内饰、双五辐脉冲专属轮毂+幻彩专属车钥匙。作为诞生于CMA架构的全新旗舰SUV，星越L匹配吉利银河OS系统、HWA 高速驾驶辅助系统等智能技术，同时支持全域FOTA云端升级，以30万级产品价值，全面超越强势合资品牌，无需用户多花一分钱，树立中国星旗舰SUV高端价值新标杆。
扁平大潮下的“拟物回归”：华为 HarmonyOS UX轻拟物设计,http://www.guokr.com/article/460033/,今年的6月2日，华为正式发布了鸿蒙HarmonyOS 2 操作系统，希望通过一个能适配所有设备的系统，将手机、PC、平板、手表、TV、汽车，甚至是各类智能家居产...
元Pro亲子游乐园开园，陪孩子来场元气太空之旅吧！,http://www.guokr.com/article/460031/,近日，元Pro“元气星球·亲子游乐园”媒体试驾活动在北京举行。参与活动的媒体老师，不仅零距离体验了元Pro“好看，好开，好玩，好安全”的四好产品力，也与家人们度过了一个温馨、快乐的元气周末。
重磅福利来袭，一汽大众ID.6 CROZZ正式开启交付 ,http://www.guokr.com/article/460030/,...
宾利汽车为飞驰车系首次推出插电混合动力车型,http://www.guokr.com/article/460026/,宾利飞驰插电混动版问世，诠释宾利可持续发展愿景
宾利品牌携全系车型亮相粤港澳大湾区国际车展，诠释可持续发展愿景,http://www.guokr.com/article/460025/,2021年7月17日，宾利汽车携全系车型亮相2021粤港澳大湾区国际汽车博览会
Davinci DC100正式发布：兼备重型机车高性能的机器人式载具 ,http://www.guokr.com/article/460022/,7月17日，Davinci Tech达芬骑动力科技（以下简称达芬骑动力）在北京举办了Davinci Tech OPEN DAY品牌及车型发布会。经历七年研发，两款量产车型正式登场：DC100与DC Classic。 这两款车型的发布不仅代表着电动化技术应用的突破，更开辟了机器人式载具这一全新品类。
2022款传祺GS4正式上市，配置全面提升，主打安全智能,http://www.guokr.com/article/460037/,颜值、智能、安全等方面提升明显，售价8.98万元起
20万元以内唯一没有对手的大五座SUV，中国星旗舰SUV星越L全球上市,http://www.guokr.com/article/460034/,7月20日，以“众星捧越”为题，中国星旗舰SUV——星越L在杭州奥体中心亚运场馆全球上市。新车推出2.0TD-7DCT EVO、2.0TD高功-8AT两种动力组合共6款车型，市场指导价为13.72-18.52万元。其中，翠羽幻彩套装售价5000元，包括翠羽幻彩特制车漆+翠羽双拼麂皮内饰、双五辐脉冲专属轮毂+幻彩专属车钥匙。作为诞生于CMA架构的全新旗舰SUV，星越L匹配吉利银河OS系统、HWA 高速驾驶辅助系统等智能技术，同时支持全域FOTA云端升级，以30万级产品价值，全面超越强势合资品牌，无需用户多花一分钱，树立中国星旗舰SUV高端价值新标杆。
扁平大潮下的“拟物回归”：华为 HarmonyOS UX轻拟物设计,http://www.guokr.com/article/460033/,今年的6月2日，华为正式发布了鸿蒙HarmonyOS 2 操作系统，希望通过一个能适配所有设备的系统，将手机、PC、平板、手表、TV、汽车，甚至是各类智能家居产...
元Pro亲子游乐园开园，陪孩子来场元气太空之旅吧！,http://www.guokr.com/article/460031/,近日，元Pro“元气星球·亲子游乐园”媒体试驾活动在北京举行。参与活动的媒体老师，不仅零距离体验了元Pro“好看，好开，好玩，好安全”的四好产品力，也与家人们度过了一个温馨、快乐的元气周末。
重磅福利来袭，一汽大众ID.6 CROZZ正式开启交付 ,http://www.guokr.com/article/460030/,...
宾利汽车为飞驰车系首次推出插电混合动力车型,http://www.guokr.com/article/460026/,宾利飞驰插电混动版问世，诠释宾利可持续发展愿景
宾利品牌携全系车型亮相粤港澳大湾区国际车展，诠释可持续发展愿景,http://www.guokr.com/article/460025/,2021年7月17日，宾利汽车携全系车型亮相2021粤港澳大湾区国际汽车博览会
